Prime Number,Num Service,Users,Throughput,Avg_Latency,percentile_10,percentile_50,percentile_90,percentile_99,percentile_99.9,percentile_99.99,Std,Tail Index,popt,,,
10000019,1,1000,8.786532414,98505.7232,96755,98548,100230,101522.3,102428.56,103645.659,1375.397792,-148.0409064,[-148.04090641  738.86836292],,,
10000019,2,1,2.969955451,336.4231201,305,337,368,375,390.219,613.7349,23.56016449,0.00476882,[ 0.00476882 -0.17281507],,,
10000019,2,2,5.481634027,364.6100304,319,355,414,488.44,551.133,776.5187,38.85099221,0.11466461,[ 0.11466461 -1.32197317],,,
10000019,2,50,18.1122949,2750.613353,2221,2760,3261,3785.97,4347.813,4794.3178,424.1981365,-17.5520877,[-17.5520877   60.81851557],,,
10000019,2,100,18.23472968,5448.85504,4415,5453,6492,7392.94,8139.946,9889.4512,834.6780056,-10.11933756,[-10.11933756  36.65383684],,,
10000019,2,300,18.21313577,16104.75739,10830,17767.5,19933,20671.35,21184.7,21267.767,3563.484547,-143.8520866,[-143.85208657  619.07094155],,,
10000019,2,500,17.49169744,27436.29123,22590,24088,37908.6,40860.76,42113.288,42356.9056,6032.391097,-96.97236242,[-96.97236242 445.30013493],,,
10000019,2,700,17.17293296,39409.34372,33712,35225,56632.6,62745.74,63761.288,64179.7882,8661.277332,-196.4973747,[-196.49737465  940.9976739 ],,,
10000019,2,1000,18.15512409,51307.07066,46509.1,47387.5,69451.9,85949.99,89301.511,89395.3756,10220.19951,-98.58140135,[-98.58140135 484.81926151],,,
10000019,3,1,2.812719223,355.2736967,317,351,385,407,422.565,624.6807,26.17885928,0.0051817,[ 0.0051817  -0.29443862],,,
10000019,3,2,5.49914904,363.4658988,324,359,402,455,494.404,660.4864,30.47591048,0.02791349,[ 0.02791349 -0.57253671],,,
10000019,3,50,26.58711424,1875.540612,1395,1864,2370.8,2890.08,3348.072,3752.4248,390.2484815,-17.06705908,[-17.06705908  57.12670936],,,
10000019,3,100,26.0179792,3828.186813,2722,3684.5,5116.8,6888.47,8614.343,9815.611,993.6573686,-12.9735829,[-12.9735829   47.97812413],,,
10000019,3,300,28.35989934,10452.53156,8661,10416,12304,13644.48,14733.4,15503.7696,1399.732363,-34.05310985,[-34.05310985 138.8486271 ],,,
10000019,3,500,26.54112805,18403.12738,16652,18388,20220,21595,22747.25,23546.25,1450.376392,-52.7785603,[-52.7785603  226.85413372],,,
10000019,3,700,25.79486545,26293.96011,23840,26010,29441,31854.48,33890.69,35360.3824,2460.129243,-37.52711055,[-37.52711055 166.99152707],,,
10000019,3,1000,25.89126603,37457.27382,33739,35883,44285,53426.96,57275.892,59219.076,5084.822021,-44.81208916,[-44.81208916 210.05992095],,,
